"Card Set,Card Number,Player,Team,Print Run"
"Base Holo Blue Laser,134,Mason Plumlee,Portland Trail Blazers,49"
"Base Holo Blue Laser,135,Stephen Curry,Golden State Warriors,49"
"Base Holo Blue Laser,136,Klay Thompson,Golden State Warriors,49"
"Base Holo Blue Laser,137,Kevin Durant,Golden State Warriors,49"
"Base Holo Blue Laser,138,Draymond Green,Golden State Warriors,49"
"Base Holo Blue Laser,139,Andre Iguodala,Golden State Warriors,49"
"Base Holo Blue Laser,140,John Wall,Washington Wizards,49"
"Base Holo Blue Laser,141,Markieff Morris,Washington Wizards,49"
"Base Holo Blue Laser,142,Marcin Gortat,Washington Wizards,49"
"Base Holo Blue Laser,143,Bradley Beal,Washington Wizards,49"
"Base Holo Blue Laser,144,Kelly Oubre Jr.,Washington Wizards,49"
"Base Holo Blue Laser,145,Russell Westbrook,Oklahoma City Thunder,49"
"Base Holo Blue Laser,146,Victor Oladipo,Oklahoma City Thunder,49"
"Base Holo Blue Laser,147,Steven Adams,Oklahoma City Thunder,49"
"Base Holo Blue Laser,148,Cameron Payne,Oklahoma City Thunder,49"
"Base Holo Blue Laser,149,Andre Roberson,Oklahoma City Thunder,49"
"Base Holo Blue Laser,150,Jordan Clarkson,Los Angeles Lakers,49"
"Base Holo Green Laser,1,Joel Embiid,Philadelphia 76ers,99"
"Base Holo Green Laser,2,Jahlil Okafor,Philadelphia 76ers,99"
"Base Holo Green Laser,3,Nerlens Noel,Philadelphia 76ers,99"
"Base Holo Green Laser,4,T.J. McConnell,Philadelphia 76ers,99"
"Base Holo Green Laser,5,Giannis Antetokounmpo,Milwaukee Bucks,99"
"Base Holo Green Laser,6,Jabari Parker,Milwaukee Bucks,99"
"Base Holo Green Laser,7,Khris Middleton,Milwaukee Bucks,99"
"Base Holo Green Laser,8,Matthew Dellavedova,Milwaukee Bucks,99"
"Base Holo Green Laser,9,John Henson,Milwaukee Bucks,99"
"Base Holo Green Laser,10,Jimmy Butler,Chicago Bulls,99"
"Base Holo Green Laser,11,Rajon Rondo,Chicago Bulls,99"
"Base Holo Green Laser,12,Dwyane Wade,Chicago Bulls,99"
"Base Holo Green Laser,13,Nikola Mirotic,Chicago Bulls,99"
"Base Holo Green Laser,14,Bobby Portis,Chicago Bulls,99"
"Base Holo Green Laser,15,LeBron James,Cleveland Cavaliers,99"
"Base Holo Green Laser,16,Kevin Love,Cleveland Cavaliers,99"
"Base Holo Green Laser,17,Kyrie Irving,Cleveland Cavaliers,99"
"Base Holo Green Laser,18,Richard Jefferson,Cleveland Cavaliers,99"
"Base Holo Green Laser,19,Tristan Thompson,Cleveland Cavaliers,99"
"Base Holo Green Laser,20,Isaiah Thomas,Boston Celtics,99"
"Base Holo Green Laser,21,Avery Bradley,Boston Celtics,99"
"Base Holo Green Laser,22,Al Horford,Boston Celtics,99"
"Base Holo Green Laser,23,Marcus Smart,Boston Celtics,99"
"Base Holo Green Laser,24,Jordan Mickey,Boston Celtics,99"
"Base Holo Green Laser,25,Chris Paul,Los Angeles Clippers,99"
"Base Holo Green Laser,26,DeAndre Jordan,Los Angeles Clippers,99"
"Base Holo Green Laser,27,Blake Griffin,Los Angeles Clippers,99"
"Base Holo Green Laser,28,Jamal Crawford,Los Angeles Clippers,99"
"Base Holo Green Laser,29,J.J. Redick,Los Angeles Clippers,99"
"Base Holo Green Laser,30,Mike Conley,Memphis Grizzlies,99"
"Base Holo Green Laser,31,Chandler Parsons,Memphis Grizzlies,99"
"Base Holo Green Laser,32,Marc Gasol,Memphis Grizzlies,99"
"Base Holo Green Laser,33,Zach Randolph,Memphis Grizzlies,99"
"Base Holo Green Laser,34,Dennis Schroder,Atlanta Hawks,99"
"Base Holo Green Laser,35,Paul Millsap,Atlanta Hawks,99"
"Base Holo Green Laser,36,Dwight Howard,Atlanta Hawks,99"
"Base Holo Green Laser,37,Kent Bazemore,Atlanta Hawks,99"
"Base Holo Green Laser,38,Kyle Korver,Atlanta Hawks,99"
"Base Holo Green Laser,39,Justise Winslow,Miami Heat,99"
"Base Holo Green Laser,40,Josh Richardson,Miami Heat,99"
"Base Holo Green Laser,41,Goran Dragic,Miami Heat,99"
"Base Holo Green Laser,42,Chris Bosh,Miami Heat,99"
"Base Holo Green Laser,43,Hassan Whiteside,Miami Heat,99"
"Base Holo Green Laser,44,Kemba Walker,Charlotte Hornets,99"
"Base Holo Green Laser,45,Nicolas Batum,Charlotte Hornets,99"
"Base Holo Green Laser,46,Frank Kaminsky,Charlotte Hornets,99"
"Base Holo Green Laser,47,Jeremy Lamb,Charlotte Hornets,99"
"Base Holo Green Laser,48,Aaron Harrison,Charlotte Hornets,99"
"Base Holo Green Laser,49,Alec Burks,Utah Jazz,99"
"Base Holo Green Laser,50,Rudy Gobert,Utah Jazz,99"
"Base Holo Green Laser,51,George Hill,Utah Jazz,99"
"Base Holo Green Laser,52,Gordon Hayward,Utah Jazz,99"
"Base Holo Green Laser,53,Rodney Hood,Utah Jazz,99"
"Base Holo Green Laser,54,DeMarcus Cousins,Sacramento Kings,99"
"Base Holo Green Laser,55,Ben McLemore,Sacramento Kings,99"
"Base Holo Green Laser,56,Willie Cauley-Stein,Sacramento Kings,99"
"Base Holo Green Laser,57,Rudy Gay,Sacramento Kings,99"
"Base Holo Green Laser,58,Omri Casspi,Sacramento Kings,99"
"Base Holo Green Laser,59,Carmelo Anthony,New York Knicks,99"
"Base Holo Green Laser,60,Kristaps Porzingis,New York Knicks,99"
"Base Holo Green Laser,61,Joakim Noah,New York Knicks,99"
"Base Holo Green Laser,62,Derrick Rose,New York Knicks,99"
"Base Holo Green Laser,63,Larry Nance Jr.,Los Angeles Lakers,99"
"Base Holo Green Laser,64,D'Angelo Russell,Los Angeles Lakers,99"
"Base Holo Green Laser,65,Julius Randle,Los Angeles Lakers,99"
"Base Holo Green Laser,66,Lou Williams,Los Angeles Lakers,99"
"Base Holo Green Laser,67,Serge Ibaka,Orlando Magic,99"
"Base Holo Green Laser,68,Jeff Green,Orlando Magic,99"
"Base Holo Green Laser,69,Mario Hezonja,Orlando Magic,99"
"Base Holo Green Laser,70,Evan Fournier,Orlando Magic,99"
"Base Holo Green Laser,71,Aaron Gordon,Orlando Magic,99"
"Base Holo Green Laser,72,Bismack Biyombo,Orlando Magic,99"
"Base Holo Green Laser,73,Nikola Vucevic,Orlando Magic,99"
"Base Holo Green Laser,74,Harrison Barnes,Dallas Mavericks,99"
"Base Holo Green Laser,75,Andrew Bogut,Dallas Mavericks,99"
"Base Holo Green Laser,76,J.J. Barea,Dallas Mavericks,99"
"Base Holo Green Laser,77,Dirk Nowitzki,Dallas Mavericks,99"
"Base Holo Green Laser,78,Deron Williams,Dallas Mavericks,99"
"Base Holo Green Laser,79,Wesley Matthews,Dallas Mavericks,99"
"Base Holo Green Laser,80,Brook Lopez,Brooklyn Nets,99"
"Base Holo Green Laser,81,Rondae Hollis-Jefferson,Brooklyn Nets,99"
"Base Holo Green Laser,82,Bojan Bogdanovic,Brooklyn Nets,99"
"Base Holo Green Laser,83,Jeremy Lin,Brooklyn Nets,99"
"Base Holo Green Laser,84,Chris McCullough,Brooklyn Nets,99"
"Base Holo Green Laser,85,Emmanuel Mudiay,Denver Nuggets,99"
"Base Holo Green Laser,86,Kenneth Faried,Denver Nuggets,99"
"Base Holo Green Laser,87,Danilo Gallinari,Denver Nuggets,99"
"Base Holo Green Laser,88,Will Barton,Denver Nuggets,99"
"Base Holo Green Laser,89,Wilson Chandler,Denver Nuggets,99"
"Base Holo Green Laser,90,Nikola Jokic,Denver Nuggets,99"
"Base Holo Green Laser,91,Jeff Teague,Indiana Pacers,99"
"Base Holo Green Laser,92,Myles Turner,Indiana Pacers,99"
"Base Holo Green Laser,93,Paul George,Indiana Pacers,99"
"Base Holo Green Laser,94,Monta Ellis,Indiana Pacers,99"
"Base Holo Green Laser,95,C.J. Miles,Indiana Pacers,99"
"Base Holo Green Laser,96,Thaddeus Young,Indiana Pacers,99"
"Base Holo Green Laser,97,Anthony Davis,New Orleans Pelicans,99"
"Base Holo Green Laser,98,Tyreke Evans,New Orleans Pelicans,99"
"Base Holo Green Laser,99,Jrue Holiday,New Orleans Pelicans,99"
"Base Holo Green Laser,100,Stanley Johnson,Detroit Pistons,99"
"Base Holo Green Laser,101,Marcus Morris,Detroit Pistons,99"
"Base Holo Green Laser,102,Kentavious Caldwell-Pope,Detroit Pistons,99"
"Base Holo Green Laser,103,Reggie Jackson,Detroit Pistons,99"
"Base Holo Green Laser,104,Andre Drummond,Detroit Pistons,99"
"Base Holo Green Laser,105,DeMar DeRozan,Toronto Raptors,99"
"Base Holo Green Laser,106,Kyle Lowry,Toronto Raptors,99"
"Base Holo Green Laser,107,Jonas Valanciunas,Toronto Raptors,99"
"Base Holo Green Laser,108,DeMarre Carroll,Toronto Raptors,99"
"Base Holo Green Laser,109,Norman Powell,Toronto Raptors,99"
"Base Holo Green Laser,110,James Harden,Houston Rockets,99"
"Base Holo Green Laser,111,Trevor Ariza,Houston Rockets,99"
"Base Holo Green Laser,112,Clint Capela,Houston Rockets,99"
"Base Holo Green Laser,113,Sam Dekker,Houston Rockets,99"
"Base Holo Green Laser,114,Patrick Beverley,Houston Rockets,99"
"Base Holo Green Laser,115,LaMarcus Aldridge,San Antonio Spurs,99"
"Base Holo Green Laser,116,Kawhi Leonard,San Antonio Spurs,99"
"Base Holo Green Laser,117,Tony Parker,San Antonio Spurs,99"
"Base Holo Green Laser,118,Manu Ginobili,San Antonio Spurs,99"
"Base Holo Green Laser,119,Pau Gasol,San Antonio Spurs,99"
"Base Holo Green Laser,120,Eric Bledsoe,Phoenix Suns,99"
"Base Holo Green Laser,121,Devin Booker,Phoenix Suns,99"
"Base Holo Green Laser,122,Brandon Knight,Phoenix Suns,99"
"Base Holo Green Laser,123,Alex Len,Phoenix Suns,99"
"Base Holo Green Laser,124,Tyson Chandler,Phoenix Suns,99"
"Base Holo Green Laser,125,Andrew Wiggins,Minnesota Timberwolves,99"
"Base Holo Green Laser,126,Zach LaVine,Minnesota Timberwolves,99"
"Base Holo Green Laser,127,Ricky Rubio,Minnesota Timberwolves,99"
"Base Holo Green Laser,128,Karl-Anthony Towns,Minnesota Timberwolves,99"
"Base Holo Green Laser,129,Kevin Garnett,Minnesota Timberwolves,99"
"Base Holo Green Laser,130,C.J. McCollum,Portland Trail Blazers,99"
"Base Holo Green Laser,131,Damian Lillard,Portland Trail Blazers,99"
"Base Holo Green Laser,132,Evan Turner,Portland Trail Blazers,99"
"Base Holo Green Laser,133,Al-Farouq Aminu,Portland Trail Blazers,99"
"Base Holo Green Laser,134,Mason Plumlee,Portland Trail Blazers,99"
"Base Holo Green Laser,135,Stephen Curry,Golden State Warriors,99"
"Base Holo Green Laser,136,Klay Thompson,Golden State Warriors,99"
"Base Holo Green Laser,137,Kevin Durant,Golden State Warriors,99"
"Base Holo Green Laser,138,Draymond Green,Golden State Warriors,99"
"Base Holo Green Laser,139,Andre Iguodala,Golden State Warriors,99"
"Base Holo Green Laser,140,John Wall,Washington Wizards,99"
"Base Holo Green Laser,141,Markieff Morris,Washington Wizards,99"
"Base Holo Green Laser,142,Marcin Gortat,Washington Wizards,99"
"Base Holo Green Laser,143,Bradley Beal,Washington Wizards,99"
"Base Holo Green Laser,144,Kelly Oubre Jr.,Washington Wizards,99"
"Base Holo Green Laser,145,Russell Westbrook,Oklahoma City Thunder,99"
"Base Holo Green Laser,146,Victor Oladipo,Oklahoma City Thunder,99"
"Base Holo Green Laser,147,Steven Adams,Oklahoma City Thunder,99"
"Base Holo Green Laser,148,Cameron Payne,Oklahoma City Thunder,99"
"Base Holo Green Laser,149,Andre Roberson,Oklahoma City Thunder,99"
"Base Holo Green Laser,150,Jordan Clarkson,Los Angeles Lakers,99"
"Court Kings,1,LeBron James,Cleveland Cavaliers,"
"Court Kings,2,Stephen Curry,Golden State Warriors,"
"Court Kings,3,Dwyane Wade,Chicago Bulls,"
"Court Kings,4,Dirk Nowitzki,Dallas Mavericks,"
"Court Kings,5,Chris Paul,Los Angeles Clippers,"
"Court Kings,6,Anthony Davis,New Orleans Hornets,"
"Court Kings,7,Kyrie Irving,Cleveland Cavaliers,"
"Court Kings,8,Kevin Durant,Golden State Warriors,"
"Court Kings,9,James Harden,Houston Rockets,"
"Court Kings,10,Paul George,Indiana Pacers,"
"Court Kings,11,Jimmy Butler,Chicago Bulls,"
"Court Kings,12,Carmelo Anthony,New York Knicks,"
"Court Kings,13,DeMarcus Cousins,Sacramento Kings,"
"Court Kings,14,Blake Griffin,Los Angeles Clippers,"
"Court Kings,15,Karl-Anthony Towns,Minnesota Timberwolves,"
"Court Kings,16,John Wall,Washington Wizards,"
"Court Kings,17,Derrick Rose,New York Knicks,"
"Court Kings,18,Kawhi Leonard,San Antonio Spurs,"
"Court Kings,19,Russell Westbrook,Oklahoma City Thunder,"
"Court Kings,20,Klay Thompson,Golden State Warriors,"
"Court Kings,21,DeMar DeRozan,Toronto Raptors,"
"Court Kings,22,Damian Lillard,Portland Trail Blazers,"
"Court Kings,23,Kristaps Porzingis,New York Knicks,"
"Court Kings,24,Giannis Antetokounmpo,Milwaukee Bucks,"
"Court Kings,25,Andrew Wiggins,Minnesota Timberwolves,"
"Court Kings,26,Isaiah Thomas,Boston Celtics,"
"Court Kings,27,Jeremy Lin,Brooklyn Nets,"
"Court Kings,28,Victor Oladipo,Oklahoma City Thunder,"
"Court Kings,29,Eric Bledsoe,Phoenix Suns,"
"Court Kings,30,Kyle Lowry,Toronto Raptors,"
"Court Kings,31,Andre Drummond,Detroit Pistons,"
"Court Kings,32,Kemba Walker,Charlotte Hornets,"
"Court Kings,33,Mike Conley,Memphis Grizzlies,"
"Court Kings,34,Dennis Schroder,Atlanta Hawks,"
"Court Kings,35,Justise Winslow,Miami Heat,"
"Court Kings,36,Jordan Clarkson,Los Angeles Lakers,"
"Court Kings,37,Serge Ibaka,Orlando Magic,"
"Court Kings,38,Gordon Hayward,Utah Jazz,"
"Court Kings,39,Emmanuel Mudiay,Denver Nuggets,"
"Court Kings,40,Jahlil Okafor,Philadelphia 76ers,"
"Crashers,1,DeAndre Jordan,Los Angeles Clippers,"
"Crashers,2,Hassan Whiteside,Miami Heat,"
"Crashers,3,Pau Gasol,San Antonio Spurs,"
"Crashers,4,Andre Drummond,Detroit Pistons,"
"Crashers,5,Dwight Howard,Atlanta Hawks,"
"Crashers,6,DeMarcus Cousins,Sacramento Kings,"
"Crashers,7,Rudy Gobert,Utah Jazz,"
"Crashers,8,Karl-Anthony Towns,Minnesota Timberwolves,"
"Crashers,9,Anthony Davis,New Orleans Pelicans,"
"Crashers,10,Julius Randle,Los Angeles Lakers,"
"Crashers,11,Kevin Love,Cleveland Cavaliers,"
"Crashers,12,Marcin Gortat,Washington Wizards,"
"Crashers,13,Draymond Green,Golden State Warriors,"
"Crashers,14,Kenneth Faried,Denver Nuggets,"
"Crashers,15,LaMarcus Aldridge,San Antonio Spurs,"
"Dimes,1,Chris Paul,Los Angeles Clippers,"
"Dimes,2,John Wall,Washington Wizards,"
"Dimes,3,Ricky Rubio,Minnesota Timberwolves,"
"Dimes,4,James Harden,Houston Rockets,"
"Dimes,5,Russell Westbrook,Oklahoma City Thunder,"
"Dimes,6,Damian Lillard,Portland Trail Blazers,"
"Dimes,7,Goran Dragic,Miami Heat,"
"Dimes,8,Stephen Curry,Golden State Warriors,"
"Dimes,9,Kyle Lowry,Toronto Raptors,"
"Dimes,10,Isaiah Thomas,Boston Celtics,"
"Dominator Signatures,1,Karl-Anthony Towns,Minnesota Timberwolves,49"
"Dominator Signatures,2,Kristaps Porzingis,New York Knicks,49"
"Dominator Signatures,3,Devin Booker,Phoenix Suns,25"
"Dominator Signatures,4,Justise Winslow,Miami Heat,49"
"Dominator Signatures,5,Nikola Jokic,Denver Nuggets,25"
"Dominator Signatures,6,Jabari Parker,Milwaukee Bucks,49"
"Dominator Signatures,7,Victor Oladipo,Oklahoma City Thunder,25"
"Dominator Signatures,8,Andrew Wiggins,Minnesota Timberwolves,49"
"Dominator Signatures,9,Kevin Durant,Golden State Warriors,49"
"Dominator Signatures,10,Kyrie Irving,Cleveland Cavaliers,49"
"Dominator Signatures,11,John Wall,Washington Wizards,49"
"Dominator Signatures,12,Bobby Portis,Chicago Bulls,49"
"Dominator Signatures,13,Dwyane Wade,Chicago Bulls,49"
"Dominator Signatures,14,Jordan Clarkson,Los Angeles Lakers,49"
"Dominator Signatures,15,Eric Bledsoe,Phoenix Suns,25"
"Dominator Signatures,16,Carmelo Anthony,New York Knicks,25"
"Dominator Signatures,17,Giannis Antetokounmpo,Milwaukee Bucks,25"
"Dominator Signatures,18,Isaiah Thomas,Boston Celtics,49"
"Dominator Signatures,19,Kyle Lowry,Toronto Raptors,25"
"Dominator Signatures,20,Klay Thompson,Golden State Warriors,25"
"Dominator Signatures,21,Draymond Green,Golden State Warriors,25"
"Dominator Signatures,22,Mike Conley,Memphis Grizzlies,25"
"Dominator Signatures,23,Marcus Smart,Boston Celtics,25"
"Dominator Signatures,24,Chris Paul,Los Angeles Clippers,49"
"Dominator Signatures,25,Blake Griffin,Los Angeles Clippers,49"
"Dominator Signatures,26,Goran Dragic,Miami Heat,25"
"Dominator Signatures,27,Allen Iverson,Philadelphia 76ers,49"
"Dominator Signatures,28,Latrell Sprewell,Minnesota Timberwolves,25"
"Dominator Signatures,29,James Worthy,Los Angeles Lakers,25"
"Dominator Signatures,30,Nick Van Exel,Dallas Mavericks,25"
"Dominator Signatures,31,George Gervin,San Antonio Spurs,25"
"Dominator Signatures,32,Steve Francis,Houston Rockets,25"
"Dominator Signatures,33,Jalen Rose,Chicago Bulls,25"
"Dominator Signatures,34,John Starks,New York Knicks,25"
"Dominator Signatures,35,Bill Russell,Boston Celtics,49"
"Dominator Signatures,36,Ray Allen,Milwaukee Bucks,49"
"Dominator Signatures,37,John Stockton,Utah Jazz,49"
"Dominator Signatures,38,Julius Erving,Philadelphia 76ers,49"
"Dominator Signatures,39,Jason Kidd,New Jersey Nets,25"
"Dominator Signatures,40,Anfernee Hardaway,Orlando Magic,25"
"Elite Series,1,Dirk Nowitzki,Dallas Mavericks,"
"Elite Series,2,Stephen Curry,Golden State Warriors,"
"Elite Series,3,Kevin Durant,Golden State Warriors,"
"Elite Series,4,Derrick Rose,New York Knicks,"
"Elite Series,5,Dwyane Wade,Chicago Bulls,"
"Elite Series,6,Al Horford,Boston Celtics,"
"Elite Series,7,Russell Westbrook,Oklahoma City Thunder,"
"Elite Series,8,Damian Lillard,Portland Trail Blazers,"
"Elite Series,9,LeBron James,Cleveland Cavaliers,"
"Elite Series,10,Anthony Davis,New Orleans Pelicans,"
"Elite Series,11,James Harden,Houston Rockets,"
"Elite Series,12,Chris Paul,Los Angeles Clippers,"
"Elite Series,13,Kawhi Leonard,San Antonio Spurs,"
"Elite Series,14,LaMarcus Aldridge,San Antonio Spurs,"
"Elite Series,15,John Wall,Washington Wizards,"
"Elite Series,16,Jimmy Butler,Chicago Bulls,"
"Elite Series,17,Kyrie Irving,Cleveland Cavaliers,"
"Elite Series,18,Klay Thompson,Golden State Warriors,"
"Elite Series,19,Blake Griffin,Los Angeles Clippers,"
"Elite Series,20,Kyle Lowry,Toronto Raptors,"
"Elite Series,21,Pau Gasol,San Antonio Spurs,"
"Elite Series,22,Marc Gasol,Memphis Grizzlies,"
"Elite Series,23,Carmelo Anthony,New York Knicks,"
"Elite Series,24,Mike Conley,Memphis Grizzlies,"
"Elite Series,25,Jordan Clarkson,Los Angeles Lakers,"
"Elite Signatures,1,Kevin Durant,Golden State Warriors,99"
"Elite Signatures,2,C.J. Miles,Indiana Pacers,25"
"Elite Signatures,3,T.J. McConnell,Philadelphia 76ers,99"
"Elite Signatures,4,Allen Crabbe,Portland Trail Blazers,25"
"Elite Signatures,5,Marcelo Huertas,Los Angeles Lakers,99"
"Elite Signatures,6,Deron Williams,Dallas Mavericks,25"
"Elite Signatures,7,Jordan McRae,Cleveland Cavaliers,99"
"Elite Signatures,8,Dennis Schroder,Atlanta Hawks,25"
"Elite Signatures,9,Carmelo Anthony,New York Knicks,25"
"Elite Signatures,10,Alan Anderson,Los Angeles Clippers,25"
"Elite Signatures,11,Kyrie Irving,Cleveland Cavaliers,99"
"Elite Signatures,12,Aaron Harrison,Charlotte Hornets,99"
"Elite Signatures,13,Mike Muscala,Atlanta Hawks,25"
"Elite Signatures,14,Karl-Anthony Towns,Minnesota Timberwolves,25"
"Elite Signatures,15,Dirk Nowitzki,Dallas Mavericks,49"
"Hall Kings,1,Shaquille O'Neal,Los Angeles Lakers,"
"Hall Kings,2,Allen Iverson,Philadelphia 76ers,"
"Hall Kings,3,Yao Ming,Houston Rockets,"
"Hall Kings,4,Alonzo Mourning,Miami Heat,"
"Hall Kings,5,Gary Payton,Seattle Supersonics,"
"Hall Kings,6,Bernard King,New York Knicks,"
"Hall Kings,7,Ralph Sampson,Houston Rockets,"
"Hall Kings,8,Jamaal Wilkes,Los Angeles Lakers,"
"Hall Kings,9,Artis Gilmore,San Antonio Spurs,"
"Hall Kings,10,Chris Mullin,Golden State Warriors,"
"Hall Kings,11,Dennis Rodman,Chicago Bulls,"
"Hall Kings,12,Karl Malone,Utah Jazz,"
"Hall Kings,13,Scottie Pippen,Chicago Bulls,"
"Hall Kings,14,David Robinson,San Antonio Spurs,"
"Hall Kings,15,John Stockton,Utah Jazz,"
"Hall Kings,16,Adrian Dantley,Detroit Pistons,"
"Hall Kings,17,Patrick Ewing,New York Knicks,"
"Hall Kings,18,Hakeem Olajuwon,Houston Rockets,"
"Hall Kings,19,Joe Dumars,Detroit Pistons,"
"Hall Kings,20,Dominique Wilkins,Atlanta Hawks,"
"Hall Kings,21,Clyde Drexler,Portland Trail Blazers,"
"Hall Kings,22,Robert Parish,Boston Celtics,"
"Hall Kings,23,James Worthy,Los Angeles Lakers,"
"Hall Kings,24,Magic Johnson,Los Angeles Lakers,"
"Hall Kings,25,Drazen Petrovic,New Jersey Nets,"
"Hall Kings,26,Moses Malone,Philadelphia 76ers,"
"Hall Kings,27,Isiah Thomas,Detroit Pistons,"
"Hall Kings,28,Bob McAdoo,New York Knicks,"
"Hall Kings,29,Kevin McHale,Boston Celtics,"
"Hall Kings,30,Larry Bird,Boston Celtics,"
"Jersey Kings,1,Jabari Parker,Milwaukee Bucks,"
"Jersey Kings,2,Jimmy Butler,Chicago Bulls,"
"Jersey Kings,3,LeBron James,Cleveland Cavaliers,"
"Jersey Kings,4,Isaiah Thomas,Boston Celtics,"
"Jersey Kings,5,DeAndre Jordan,Los Angeles Clippers,"
"Jersey Kings,6,Marc Gasol,Memphis Grizzlies,"
"Jersey Kings,7,Paul Millsap,Atlanta Hawks,"
"Jersey Kings,8,Kemba Walker,Charlotte Hornets,"
"Jersey Kings,9,DeMarcus Cousins,Sacramento Kings,"
"Jersey Kings,10,Carmelo Anthony,New York Knicks,"
"Jersey Kings,11,Jordan Clarkson,Los Angeles Lakers,"
"Jersey Kings,12,Brook Lopez,Brooklyn Nets,"
"Jersey Kings,13,Danilo Gallinari,Denver Nuggets,"
"Jersey Kings,14,Paul George,Indiana Pacers,"
"Jersey Kings,15,Jrue Holiday,New Orleans Pelicans,"
"Jersey Kings,16,Andre Drummond,Detroit Pistons,"
"Jersey Kings,17,DeMar DeRozan,Toronto Raptors,"
"Jersey Kings,18,Karl-Anthony Towns,Minnesota Timberwolves,"
"Jersey Kings,19,Kawhi Leonard,San Antonio Spurs,"
"Jersey Kings,20,Gordon Hayward,Utah Jazz,"
"Jersey Kings,21,Andrew Wiggins,Minnesota Timberwolves,"
"Jersey Kings,22,Damian Lillard,Portland Trail Blazers,"
"Jersey Kings,23,Stephen Curry,Golden State Warriors,"
"Jersey Kings,24,John Wall,Washington Wizards,"
"Jersey Kings,25,Russell Westbrook,Oklahoma City Thunder,"
"Next Day Autographs,1,Brandon Ingram,Los Angeles Lakers,"
"Next Day Autographs,2,Jaylen Brown,Boston Celtics,"
"Next Day Autographs,3,Dragan Bender,Phoenix Suns,"
"Next Day Autographs,4,Kris Dunn,Minnesota Timberwolves,"
"Next Day Autographs,5,Buddy Hield,New Orleans Pelicans,"
"Next Day Autographs,6,Jamal Murray,Denver Nuggets,"
"Next Day Autographs,7,Marquese Chriss,Phoenix Suns,"
"Next Day Autographs,8,Jakob Poeltl,Toronto Raptors,"
"Next Day Autographs,9,Thon Maker,Milwaukee Bucks,"
"Next Day Autographs,10,Taurean Prince,Atlanta Hawks,"
"Next Day Autographs,11,Georgios Papagiannis,Sacramento Kings,"
"Next Day Autographs,12,Denzel Valentine,Chicago Bulls,"
"Next Day Autographs,13,Juan Hernangomez,Denver Nuggets,"
"Next Day Autographs,14,Wade Baldwin IV,Memphis Grizzlies,"
"Next Day Autographs,15,Henry Ellenson,Detroit Pistons,"
"Next Day Autographs,16,Caris LeVert,Brooklyn Nets,"
"Next Day Autographs,17,DeAndre' Bembry,Atlanta Hawks,"
"Next Day Autographs,18,Malachi Richardson,Sacramento Kings,"
"Next Day Autographs,19,Timothe Luwawu-Cabarrot,Philadelphia 76ers,"
"Next Day Autographs,20,Brice Johnson,Los Angeles Clippers,"
"Next Day Autographs,21,Pascal Siakam,Toronto Raptors,"
"Next Day Autographs,22,Skal Labissiere,Sacramento Kings,"
"Next Day Autographs,23,Dejounte Murray,San Antonio Spurs,"
"Next Day Autographs,24,Damian Jones,Golden State Warriors,"
"Next Day Autographs,25,Deyonta Davis,Memphis Grizzlies,"
"Next Day Autographs,26,Cheick Diallo,New Orleans Pelicans,"
"Next Day Autographs,27,Tyler Ulis,Phoenix Suns,"
"Next Day Autographs,28,Patrick McCaw,Golden State Warriors,"
"Next Day Autographs,29,Malcolm Brogdon,Milwaukee Bucks,"
"Next Day Autographs,30,Isaiah Whitehead,Brooklyn Nets,"
"Next Day Autographs,31,Demetrius Jackson,Boston Celtics,"
"Next Day Autographs,32,Kay Felder,Cleveland Cavaliers,"
"Next Day Autographs,33,Gary Payton II,Houston Rockets,"
"Next Day Autographs,34,Diamond Stone,Los Angeles Clippers,"
"Next Day Autographs,35,Ivica Zubac,Los Angeles Lakers,"
"Next Day Autographs,36,Chinanu Onuaku,Houston Rockets,"
"Next Day Autographs,37,Stephen Zimmerman,Orlando Magic,"
"Next Day Autographs,38,A.J. Hammons,Dallas Mavericks,"
"Next Day Autographs,39,Malik Beasley,Denver Nuggets,"
"Optic Preview,1,Ben Simmons,Philadelphia 76ers,"
"Optic Preview,2,Nerlens Noel,Philadelphia 76ers,"
"Optic Preview,3,Jahlil Okafor,Philadelphia 76ers,"
"Optic Preview,4,Damian Lillard,Portland Trail Blazers,"
"Optic Preview,5,C.J. McCollum,Portland Trail Blazers,"
"Optic Preview,6,Allen Crabbe,Portland Trail Blazers,"
"Optic Preview,7,Greg Monroe,Milwaukee Bucks,"
"Optic Preview,8,Jabari Parker,Milwaukee Bucks,"
"Optic Preview,9,Thon Maker,Milwaukee Bucks,"
"Optic Preview,10,Dwyane Wade,Chicago Bulls,"
"Optic Preview,11,Jimmy Butler,Chicago Bulls,"
"Optic Preview,12,Rajon Rondo,Chicago Bulls,"
"Optic Preview,13,LeBron James,Cleveland Cavaliers,"
"Optic Preview,14,Kyrie Irving,Cleveland Cavaliers,"
"Optic Preview,15,Kevin Love,Cleveland Cavaliers,"
"Optic Preview,16,Tristan Thompson,Cleveland Cavaliers,"
"Optic Preview,17,Isaiah Thomas,Boston Celtics,"
"Optic Preview,18,Jared Sullinger,Toronto Raptors,"
"Optic Preview,19,Jaylen Brown,Boston Celtics,"
"Optic Preview,20,Chris Paul,Los Angeles Clippers,"
"Optic Preview,21,Blake Griffin,Los Angeles Clippers,"
